,filename,text,duration
0,001001,به نام خداوند بخشنده بخشایشگر,4.232
2,001003,(خداوندی که) بخشنده و بخشایشگر است (و رحمت عام و خاصش همگان را فرا گرفته).,4.911
3,001004,(خداوندی که) مالک روز جزاست.,4.807
5,001006,ما را به راه راست هدایت کن...,3.971
560,004068,و آنان را به راه راست، هدایت می‌کردیم.,4.598
648,004156,و (نیز) بخاطر کفرشان، و تهمت بزرگی که بر مریم زدند.,5.904
968,007015,فرمود: «تو از مهلت داده شدگانی!»,3.814
1065,007112,تا هر ساحر دانا (و کارآزموده‌ای) را به خدمت تو بیاورند!»,5.642
1067,007114,گفت: «آری، و شما از مقربان خواهید بود!»,4.336
1072,007119,و در آنجا (همگی) مغلوب شدند؛ و خوار و کوچک گشتند.,5.747
1073,007120,و ساحران (بی‌اختیار) به سجده افتادند.,4.18
1074,007121,و گفتند: «ما به پروردگار جهانیان ایمان آوردیم؛,5.381
1075,007122,پروردگار موسی و هارون!»,3.082
1145,007192,و نمی‌توانند آنان را یاری کنند، و نه خودشان را یاری می‌دهند.,5.956
1594,011122,و انتظار بکشید! ما هم منتظریم!,4.127
1611,012016,(برادران یوسف) شب هنگام، گریان به سراغ پدر آمدند.,5.904
1666,012071,آنها رو به سوی او کردند و گفتند: «چه چیز گم کرده‌اید؟»,5.172
1669,012074,آنها گفتند: «اگر دروغگو باشید، کیفرش چیست؟»,4.807
1690,012095,گفتند: «به خدا تو در همان گمراهی سابقت هستی!»,5.068
1769,014020,و این کار برای خدا مشکل نیست!,3.605
1798,014049,و در آن روز، مجرمان را با هم در غل و زنجیر می‌بینی! (که دستها و گردنهایشان را به هم بسته است!),5.59
1808,015007,اگر راست می‌گویی، چرا فرشتگان را نزد ما نمی‌زوری؟!»,4.807
1818,015017,و آن را از هر شیطان رانده شده‌ای حفظ کردیم؛,4.859
1828,015027,و جن را پیش از آن، از آتش گرم و سوزان خلق کردیم!,5.59
1831,015030,همه فرشتگان، بی استثنا، سجده کردند...,4.075
1838,015037,فرمود: «تو از مهلت یافتگانی!,3.866
1839,015038,(امّا نه تا روز رستاخیز، بلکه) تا روز وقت معیّنی.»,5.329
1841,015040,مگر بندگان مخلصت را.»,2.717
1842,015041,فرمود: «این راه مستقیمی است که بر عهده من است (و سنّت همیشگیم)...,5.486
1844,015043,و دوزخ، میعادگاه همه آنهاست!,3.553
1850,015049,بندگانم را آگاه کن که من بخشنده مهربانم!,5.433
1852,015051,و به آنها از مهمانهای ابراهیم خبر ده!,4.232
1858,015057,(سپس) گفت: «مأموریت شما چیست ای فرستادگان خدا؟»,5.642
1860,015059,مگر خاندان لوط، که همگی آنها را نجات خواهیم داد...,5.224
1862,015061,هنگامی که فرستادگان (خدا) به سراغ خاندان لوط آمدند...,5.59
1863,015062,(لوط) گفت: «شما گروه ناشناسی هستید!»,4.65
1870,015069,و از خدا بترسید، و مرا شرمنده نسازید!»,4.075
1878,015077,در این، نشانه‌ای است برای مؤمنان!,3.344
1881,015080,و «اصحاب حجر» [= قوم ثمود] پیامبران را تکذیب کردند!,5.433
1883,015082,آنها خانه‌های امن در دل کوه‌ها می‌تراشیدند.,4.493
1884,015083,امّا سرانجام صیحه (مرگبار)، صبحگاهان آنان را فرا گرفت؛,5.851
1887,015086,به یقین، پروردگار تو، آفریننده آگاه است!,5.172
1888,015087,ما به تو سوره حمد و قرآن عظیم دادیم!,4.963
1890,015089,و بگو: «من انذارکننده آشکارم!»,5.12
1894,015093,از آنچه عمل می‌کردند!,2.142
1896,015095,ما شرّ استهزاکنندگان را از تو دفع خواهیم کرد؛,5.851
2009,016109,و ناچار آنها در آخرت زیانکارند.,4.441
2078,017050,بگو: «شما سنگ باشید یا آهن،,4.336
2206,018067,گفت: «تو هرگز نمی‌توانی با من شکیبایی کنی!,4.911
2224,018085,او از این اسباب، (پیروی و استفاده) کرد...,4.127
2231,018092,(باز) از اسباب مهمّی (که در اختیار داشت) استفاده کرد...,5.433
2239,018100,در آن روز، جهنم را بر کافران عرضه می‌داریم!,4.859
2306,019057,و ما او را به مقام والایی رساندیم.,3.971
